Country,Year,Energy,Industrial_Processes_and_Product_Use,Agriculture,LULUCF,Waste_management,Other_Sector,Total (with LULUCF),ind_CO2 - Indirect CO2
Croatia,1991-01-01,7838.4551475,706.9940322222224,1106.8517049999998,-3849.0415700000003,278.06951999999995,0.0,3095.587278888889,0.0
Croatia,1992-01-01,7479.547975,548.2326344444444,931.6414749999998,-3922.02896,283.8753325,0.0,2669.58189,0.0
Croatia,1993-01-01,7843.37588,455.82621222222224,875.5833975,-4065.4743375,289.36782999999997,0.0,2652.649662222222,0.0
Croatia,1994-01-01,7356.619565,505.3195866666666,831.9165825,-4202.865350000001,296.88110499999993,0.0,2408.6759888888887,0.0
Croatia,1995-01-01,7809.0457675,467.6864444444444,798.453525,-4490.8026875000005,303.40206749999993,0.0,2432.1747444444445,0.0
Croatia,1996-01-01,8108.1549374999995,470.30286777777786,778.3105625000002,-4326.69327,307.8604475,0.0,2633.695167777778,0.0
Croatia,1997-01-01,8533.154199999999,516.7784733333333,821.352845,-4071.255745,317.40347500000007,0.0,3005.958376666667,0.0
Croatia,1998-01-01,8955.8192575,478.2012011111111,758.6507925,-3949.27684,324.4514874999999,0.0,3184.7099555555556,0.0
Croatia,1999-01-01,9213.433085,561.1959544444445,799.6064050000001,-4277.9654375,336.627965,0.0,3259.730181111111,0.0
Croatia,2000-01-01,8901.156339999998,615.1523688888889,792.66735,-3524.4618899999996,349.075245,0.0,3512.2354988888887,0.0
Croatia,2001-01-01,9407.7300525,625.5383633333335,834.7895425,-3933.235125,355.6329625,0.0,3587.723887777778,0.0
Croatia,2002-01-01,9981.7866375,621.732258888889,818.898805,-4075.5514575,367.142875,0.0,3773.85531,0.0
Croatia,2003-01-01,10665.76834,631.6259588888888,813.991735,-3676.0324575,378.2654875,0.0,4268.067338888888,0.0
Croatia,2004-01-01,10373.951735,699.3313566666667,857.9892575,-3809.689095,393.568055,0.0,4173.029113333334,0.0
Croatia,2005-01-01,10572.0950875,707.6708788888888,864.2989575000001,-3920.5534125,394.0832225,0.0,4223.192590000001,0.0
Croatia,2006-01-01,10609.8234175,740.3071277777779,880.3939075000001,-3814.6014400000004,419.6099475,0.0,4338.185275555556,0.0
Croatia,2007-01-01,11228.984069999999,770.9363522222222,862.85134,-3429.0984725,443.2494725000001,0.0,4818.041422222222,0.0
Croatia,2008-01-01,10643.886369999998,762.0402177777778,916.4998424999999,-3602.724,467.68697,0.0,4506.639856666667,0.0
Croatia,2009-01-01,10063.751409999999,613.1678488888889,782.2137425,-3579.5300650000004,480.92096,0.0,4056.4372033333325,0.0
Croatia,2010-01-01,9652.2782275,648.8194466666667,803.4230175,-3489.3498624999993,496.0728875000001,0.0,3965.452458888889,0.0
Croatia,2011-01-01,9535.9806075,613.8816111111113,820.7198050000001,-2897.5629775,504.1217175,0.0,4153.1079,0.0
Croatia,2012-01-01,8836.258525000001,562.1665155555555,789.5686699999999,-2684.880325,503.9098825,0.0,3870.99174,0.0
Croatia,2013-01-01,8463.084257499999,553.1181977777778,715.5444725,-3061.1121749999998,464.830085,0.0,3478.605593333333,0.0
Croatia,2014-01-01,8010.907647499998,581.6956777777779,695.6884900000001,-3073.39962,495.47273,0.0,3305.5486766666663,0.0
Croatia,2015-01-01,8113.6897575,586.56799,713.62911,-2597.0148424999998,507.36498499999993,0.0,3581.0875477777777,0.0
Croatia,2016-01-01,8307.091205,534.913448888889,704.4365049999999,-2623.753125,544.684095,0.0,3616.006193333333,0.0
Croatia,2017-01-01,8498.528012499999,589.8029055555555,737.2767075,-2303.7447475,545.4026099999999,0.0,3913.1196077777768,0.0
Croatia,2018-01-01,8034.74713,562.2946577777778,713.9683525,-2577.8365475,529.177685,0.0,3540.0976000000005,0.0
Cyprus,1990-01-01,1975.6350925,184.30921444444445,121.154625,-109.50275999999998,100.4360725,0.0,1112.1861166666667,0.0
Cyprus,1991-01-01,2241.6721125,178.6599388888889,122.1345225,-106.0713925,101.6877825,0.0,1227.2923955555557,0.0
Cyprus,1992-01-01,2404.8307624999998,197.00341555555556,131.00508249999996,-109.20481500000001,104.017775,0.0,1321.7362177777777,0.0
Cyprus,1993-01-01,2493.208885,211.19127333333336,138.7878725,-116.91633500000002,106.47080999999999,0.0,1376.3251544444447,0.0
Cyprus,1994-01-01,2598.5599174999998,221.23660666666666,136.1572425,-111.7486075,109.5485925,0.0,1435.6886711111113,0.0
Cyprus,1995-01-01,2552.1867275000004,214.83563222222222,148.82198,-119.5210275,111.70452250000001,0.0,1411.8099444444445,0.0
Cyprus,1996-01-01,2699.50086,228.71101999999993,144.39252,-122.44380749999999,113.01813,0.0,1488.474441111111,0.0
Cyprus,1997-01-01,2761.046305,222.5912911111111,140.81591500000002,-113.12030499999999,115.2262375,0.0,1513.2438066666668,0.0
Cyprus,1998-01-01,2932.3337024999996,214.0753588888889,144.28864,-91.9309625,117.0307375,0.0,1592.6185233333333,0.0
Cyprus,1999-01-01,3064.0962275,218.81871111111113,139.95666500000002,-146.208305,119.0549625,0.0,1630.7740666666668,0.0
Cyprus,2000-01-01,3173.63466,228.21105444444441,141.86464000000004,-19.8681175,121.3138275,0.0,1746.85328,0.0
Cyprus,2001-01-01,3120.1939774999996,226.05399777777777,154.07959500000004,-94.173435,123.72137500000001,0.0,1694.4191166666667,0.0
Cyprus,2002-01-01,3199.2470975,236.58190666666664,159.14284,-138.357605,125.5352425,0.0,1723.5008300000002,0.0
Cyprus,2003-01-01,3394.306335,239.58442333333335,154.53330249999996,-142.5965575,126.15006000000001,0.0,1809.536931111111,0.0
Cyprus,2004-01-01,3469.1004649999995,259.9435455555555,149.66727500000002,-142.0160575,126.9763,0.0,1861.6004288888887,0.0
Cyprus,2005-01-01,3558.2617225,264.45510777777776,136.8084125,-151.701945,128.95244,0.0,1896.5976099999998,0.0
Cyprus,2006-01-01,3649.6474774999997,267.3010577777778,140.68276500000002,-191.0302675,128.77276,0.0,1924.2222744444443,0.0
Cyprus,2007-01-01,3810.2912275000003,273.13526,138.64343000000002,-121.52641249999999,129.243785,0.0,2031.6472733333337,0.0
Cyprus,2008-01-01,3893.24348,273.27078888888883,132.3175825,-208.93180999999998,131.31869,0.0,2027.9143155555555,0.0
Cyprus,2009-01-01,3854.8736874999995,236.4837455555556,130.772375,-214.6061025,132.51095,0.0,1971.3952600000002,0.0
Cyprus,2010-01-01,3740.1476475000004,208.4487022222222,136.37366,-199.42523250000002,133.11002000000002,0.0,1901.8736344444446,0.0
